"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Operational Delivery","250","240","26750","26590"
"New entrant CS","2022","Communications","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Tax","210","210","27370","26590"
"New entrant CS","2022","Communications","Male","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Counter Fraud","410","390","26000","27570"
"New entrant CS","2022","Counter Fraud","Female","Intelligence Analysis","30","30","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Operational Delivery","190","180","24430","25110"
"New entrant CS","2022","Counter Fraud","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Unknown","160","160","28410","26590"
"New entrant CS","2022","Counter Fraud","Male","Counter Fraud","290","290","26750","27570"
"New entrant CS","2022","Counter Fraud","Male","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Male","Legal","50","40","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Male","Operational Delivery","170","170","24930","21260"
"New entrant CS","2022","Counter Fraud","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Male","Unknown","190","190","29370","26590"
"New entrant CS","2022","Debt","Female","Operational Delivery","320","300","21290","21250"
"New entrant CS","2022","Debt","Female","Other","180","170","21780","21260"
"New entrant CS","2022","Debt","Female","Tax","100","100","22100","21250"
"New entrant CS","2022","Debt","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","Male","Operational Delivery","200","200","21600","21250"
"New entrant CS","2022","Debt","Male","Other","130","120","21830","21260"
"New entrant CS","2022","Debt","Male","Tax","80","80","21930","21250"
"New entrant CS","2022","Debt","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Digital, Data and Technology","890","860","36190","33370"
"New entrant CS","2022","Digital, Data & Technology","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Female","Unknown","130","130","41580","37300"
"New entrant CS","2022","Digital, Data & Technology","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Digital, Data and Technology","1570","1540","38090","34260"
"New entrant CS","2022","Digital, Data & Technology","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Knowledge and Information Management","30","30","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Science and Engineering","30","30","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Male","Unknown","130","130","44840","43710"
"New entrant CS","2022","Finance","Female","Commercial","30","30","[c]","[c]"
"New entrant CS","2022","Finance","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Finance","530","480","34290","31900"
"New entrant CS","2022","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Finance","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Finance","450","420","34690","31990"
"New entrant CS","2022","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Female","Operational Delivery","300","280","21510","21300"
"New entrant CS","2022","Grants Management","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","Male","Operational Delivery","230","220","21730","21300"
"New entrant CS","2022","Human Resources","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Human Resources","750","710","32830","29180"
"New entrant CS","2022","Human Resources","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Operational Delivery","70","70","27090","27570"
"New entrant CS","2022","Human Resources","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Unknown","110","110","30910","24100"
"New entrant CS","2022","Human Resources","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Human Resources","300","280","34920","30450"
"New entrant CS","2022","Human Resources","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Unknown","60","60","33150","27500"
"New entrant CS","2022","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Male","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2022","Legal","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Legal","490","470","44130","43920"
"New entrant CS","2022","Legal","Female","Operational Delivery","280","280","22360","22200"
"New entrant CS","2022","Legal","Female","Other","60","60","28200","26950"
"New entrant CS","2022","Legal","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Legal","240","240","45930","48080"
"New entrant CS","2022","Legal","Male","Operational Delivery","90","90","23120","21250"
"New entrant CS","2022","Legal","Male","Other","30","30","[c]","[c]"
"New entrant CS","2022","Legal","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Inspector of Education and Training","120","120","55860","46360"
"New entrant CS","2022","No function","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","International Trade","110","110","36840","31800"
"New entrant CS","2022","No function","Female","Knowledge and Information Management","80","80","30620","28040"
"New entrant CS","2022","No function","Female","Legal","90","90","34090","30450"
"New entrant CS","2022","No function","Female","Medicine","60","50","72690","82450"
"New entrant CS","2022","No function","Female","Operational Delivery","19570","18520","26260","24080"
"New entrant CS","2022","No function","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Other","430","410","28150","25750"
"New entrant CS","2022","No function","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","No function","Female","Policy","1960","1900","36130","33210"
"New entrant CS","2022","No function","Female","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","No function","Female","Psychology","180","180","26600","27700"
