"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Declared non-disabled","Security","SEO/HEO","100","100","35010","32080"
"New entrant CS","2022","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","AA/AO","1230","1200","21720","21170"
"New entrant CS","2022","Declared non-disabled","Unknown","EO","860","840","27560","27230"
"New entrant CS","2022","Declared non-disabled","Unknown","G6/G7","260","250","57840","54280"
"New entrant CS","2022","Declared non-disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","SEO/HEO","890","870","36250","35250"
"New entrant CS","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","AA/AO","380","360","21740","21260"
"New entrant CS","2022","Undeclared","No function","EO","280","270","27570","27570"
"New entrant CS","2022","Undeclared","No function","G6/G7","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","SEO/HEO","240","240","34400","33210"
"New entrant CS","2022","Undeclared","No function","Unknown","290","270","30100","28200"
"New entrant CS","2022","Undeclared","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","AA/AO","70","60","21430","21170"
"New entrant CS","2022","Undeclared","Unknown","EO","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","SEO/HEO","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","AA/AO","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","EO","100","90","26980","27270"
"New entrant CS","2022","Unknown","Analysis","G6/G7","50","40","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","SEO/HEO","200","180","34480","33080"
"New entrant CS","2022","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","EO","80","80","25490","25520"
"New entrant CS","2022","Unknown","Commercial","G6/G7","200","200","69200","70000"
"New entrant CS","2022","Unknown","Commercial","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","SEO/HEO","190","140","35580","36500"
"New entrant CS","2022","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","AA/AO","80","80","21680","21250"
"New entrant CS","2022","Unknown","Communications","EO","360","330","26740","26590"
"New entrant CS","2022","Unknown","Communications","G6/G7","50","30","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","SEO/HEO","180","180","35600","33570"
"New entrant CS","2022","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","AA/AO","90","80","21690","21250"
"New entrant CS","2022","Unknown","Counter Fraud","EO","220","220","27670","26590"
"New entrant CS","2022","Unknown","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","SEO/HEO","60","60","34810","33080"
"New entrant CS","2022","Unknown","Debt","AA/AO","300","290","21250","21250"
"New entrant CS","2022","Unknown","Debt","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Debt","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","AA/AO","80","70","21130","21170"
"New entrant CS","2022","Unknown","Digital, Data & Technology","EO","210","210","27120","27130"
"New entrant CS","2022","Unknown","Digital, Data & Technology","G6/G7","190","180","55880","54500"
"New entrant CS","2022","Unknown","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","SEO/HEO","450","420","36310","36050"
"New entrant CS","2022","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Finance","AA/AO","60","60","21050","21250"
"New entrant CS","2022","Unknown","Finance","EO","140","120","25100","25000"
"New entrant CS","2022","Unknown","Finance","G6/G7","60","50","55390","53390"
"New entrant CS","2022","Unknown","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Finance","SEO/HEO","250","220","35730","36120"
"New entrant CS","2022","Unknown","Human Resources","AA/AO","90","90","21450","21170"
"New entrant CS","2022","Unknown","Human Resources","EO","130","110","26020","26590"
"New entrant CS","2022","Unknown","Human Resources","G6/G7","50","50","58180","56130"
"New entrant CS","2022","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","SEO/HEO","130","130","34400","32790"
"New entrant CS","2022","Unknown","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","AA/AO","70","70","21780","22200"
"New entrant CS","2022","Unknown","Legal","EO","60","60","27730","26960"
"New entrant CS","2022","Unknown","Legal","G6/G7","50","50","53900","52080"
"New entrant CS","2022","Unknown","Legal","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","No function","AA/AO","5630","5430","22200","21260"
"New entrant CS","2022","Unknown","No function","EO","1980","1920","27660","27130"
"New entrant CS","2022","Unknown","No function","G6/G7","450","430","55830","53360"
"New entrant CS","2022","Unknown","No function","SCS","80","80","98900","86100"
"New entrant CS","2022","Unknown","No function","SEO/HEO","2320","2260","33270","32790"
"New entrant CS","2022","Unknown","No function","Unknown","3330","2980","27920","26310"
"New entrant CS","2022","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Project Delivery","EO","150","150","21200","19460"
"New entrant CS","2022","Unknown","Project Delivery","G6/G7","70","70","57120","54110"
"New entrant CS","2022","Unknown","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Project Delivery","SEO/HEO","260","250","36820","36830"
"New entrant CS","2022","Unknown","Project Delivery","Unknown","60","60","32880","28220"
"New entrant CS","2022","Unknown","Property","AA/AO","180","180","21640","21750"
"New entrant CS","2022","Unknown","Property","EO","130","130","25630","25000"
"New entrant CS","2022","Unknown","Property","G6/G7","70","60","56710","54270"
"New entrant CS","2022","Unknown","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Property","SEO/HEO","140","140","34970","33000"
"New entrant CS","2022","Unknown","Security","AA/AO","280","280","24930","23540"
"New entrant CS","2022","Unknown","Security","EO","100","90","27600","26460"
"New entrant CS","2022","Unknown","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Security","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Security","SEO/HEO","50","50","36530","36500"
"New entrant CS","2022","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","AA/AO","1730","1670","21750","21260"
"New entrant CS","2022","Unknown","Unknown","EO","2300","2170","27280","27230"
"New entrant CS","2022","Unknown","Unknown","G6/G7","400","380","59350","57430"
"New entrant CS","2022","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","SEO/HEO","1100","1070","36080","35050"
"New entrant CS","2022","Unknown","Unknown","Unknown","180","160","21310","16190"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","","",""
"Responsibility_level","With the exception of the Senior Civil Service level, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
