"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","No function","Declared disabled","50","50","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","No function","Declared non-disabled","320","320","26440","24920"
"New entrant CS","2022","Animal and Plant Health Agency","No function","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","No function","Unknown","70","70","25670","24370"
"New entrant CS","2022","Animal and Plant Health Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Animal and Plant Health Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Attorney General's Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Attorney General's Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Attorney General's Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Attorney General's Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Attorney General's Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Commercial","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Commercial","Unknown","200","190","74760","70630"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Communications","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","Declared non-disabled","150","150","43410","40600"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Digital, Data & Technology","Unknown","60","60","43340","37580"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Human Resources","Declared non-disabled","100","100","32240","27500"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","No function","Declared non-disabled","160","150","38320","34550"
"New entrant CS","2022","Cabinet Office (excl. agencies)","No function","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","No function","Unknown","630","630","28910","28000"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Security","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Security","Declared non-disabled","90","80","31990","32000"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","Security","Unknown","60","60","28450","25210"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Declared non-disabled","50","50","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","No function","Unknown","40","30","[c]","[c]"
"New entrant CS","2022","Charity Commission","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Charity Commission","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","No function","Declared non-disabled","50","50","[c]","[c]"
"New entrant CS","2022","Companies House","No function","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Companies House","Property","Unknown","[c]","[c]","[c]","[c]"
