"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","No function","40","30","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","No function","310","300","22040","21260"
"New entrant CS","2022","Heterosexual / straight","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","16-19","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","20-29","Analysis","600","590","30720","30710"
"New entrant CS","2022","Heterosexual / straight","20-29","Commercial","190","190","29840","28310"
"New entrant CS","2022","Heterosexual / straight","20-29","Communications","340","340","28640","26590"
"New entrant CS","2022","Heterosexual / straight","20-29","Counter Fraud","410","410","26250","26590"
"New entrant CS","2022","Heterosexual / straight","20-29","Debt","250","240","21490","21250"
"New entrant CS","2022","Heterosexual / straight","20-29","Digital, Data & Technology","570","570","30890","29180"
"New entrant CS","2022","Heterosexual / straight","20-29","Finance","280","270","29710","27270"
"New entrant CS","2022","Heterosexual / straight","20-29","Grants Management","60","60","22340","21300"
"New entrant CS","2022","Heterosexual / straight","20-29","Human Resources","310","300","26610","26590"
"New entrant CS","2022","Heterosexual / straight","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","20-29","Legal","450","450","28440","26950"
"New entrant CS","2022","Heterosexual / straight","20-29","No function","9450","9320","26110","24800"
"New entrant CS","2022","Heterosexual / straight","20-29","Project Delivery","420","420","28580","27540"
"New entrant CS","2022","Heterosexual / straight","20-29","Property","180","180","28540","26030"
"New entrant CS","2022","Heterosexual / straight","20-29","Security","150","150","26570","25070"
"New entrant CS","2022","Heterosexual / straight","20-29","Unknown","1150","1130","26930","25860"
"New entrant CS","2022","Heterosexual / straight","30-39","Analysis","180","170","38480","36000"
"New entrant CS","2022","Heterosexual / straight","30-39","Commercial","130","120","35190","34850"
"New entrant CS","2022","Heterosexual / straight","30-39","Communications","220","220","31920","26590"
"New entrant CS","2022","Heterosexual / straight","30-39","Counter Fraud","290","290","27240","26590"
"New entrant CS","2022","Heterosexual / straight","30-39","Debt","160","160","21540","21250"
"New entrant CS","2022","Heterosexual / straight","30-39","Digital, Data & Technology","530","520","39030","36740"
"New entrant CS","2022","Heterosexual / straight","30-39","Finance","190","180","35100","32790"
"New entrant CS","2022","Heterosexual / straight","30-39","Grants Management","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","30-39","Human Resources","230","220","33860","31060"
"New entrant CS","2022","Heterosexual / straight","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","30-39","Legal","280","270","42510","43920"
"New entrant CS","2022","Heterosexual / straight","30-39","No function","5920","5700","29150","27570"
"New entrant CS","2022","Heterosexual / straight","30-39","Project Delivery","340","330","37530","36740"
"New entrant CS","2022","Heterosexual / straight","30-39","Property","130","130","34900","32590"
"New entrant CS","2022","Heterosexual / straight","30-39","Security","100","100","30690","26350"
"New entrant CS","2022","Heterosexual / straight","30-39","Unknown","1080","1050","31430","27570"
"New entrant CS","2022","Heterosexual / straight","40-49","Analysis","90","90","43110","38200"
"New entrant CS","2022","Heterosexual / straight","40-49","Commercial","100","90","37900","36050"
"New entrant CS","2022","Heterosexual / straight","40-49","Communications","100","100","36180","32320"
"New entrant CS","2022","Heterosexual / straight","40-49","Counter Fraud","200","190","27770","27570"
"New entrant CS","2022","Heterosexual / straight","40-49","Debt","110","100","21950","21250"
"New entrant CS","2022","Heterosexual / straight","40-49","Digital, Data & Technology","400","390","43130","40550"
"New entrant CS","2022","Heterosexual / straight","40-49","Finance","120","120","37190","36310"
"New entrant CS","2022","Heterosexual / straight","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","40-49","Human Resources","190","180","36930","33000"
"New entrant CS","2022","Heterosexual / straight","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","40-49","Legal","170","160","47740","50500"
"New entrant CS","2022","Heterosexual / straight","40-49","No function","4280","4100","31030","27570"
"New entrant CS","2022","Heterosexual / straight","40-49","Project Delivery","270","260","40500","38030"
"New entrant CS","2022","Heterosexual / straight","40-49","Property","150","140","38640","33670"
"New entrant CS","2022","Heterosexual / straight","40-49","Security","90","90","32920","26350"
"New entrant CS","2022","Heterosexual / straight","40-49","Unknown","800","770","33810","28650"
"New entrant CS","2022","Heterosexual / straight","50-59","Analysis","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","50-59","Commercial","60","60","40700","38650"
"New entrant CS","2022","Heterosexual / straight","50-59","Communications","80","70","34860","27730"
"New entrant CS","2022","Heterosexual / straight","50-59","Counter Fraud","160","150","27270","26590"
"New entrant CS","2022","Heterosexual / straight","50-59","Debt","80","70","22070","21260"
"New entrant CS","2022","Heterosexual / straight","50-59","Digital, Data & Technology","230","230","43860","40520"
"New entrant CS","2022","Heterosexual / straight","50-59","Finance","90","90","39010","36270"
"New entrant CS","2022","Heterosexual / straight","50-59","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","50-59","Human Resources","130","130","37980","33460"
"New entrant CS","2022","Heterosexual / straight","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","50-59","Legal","60","50","48920","48080"
"New entrant CS","2022","Heterosexual / straight","50-59","No function","3710","3530","29740","27570"
"New entrant CS","2022","Heterosexual / straight","50-59","Project Delivery","220","220","43160","40000"
"New entrant CS","2022","Heterosexual / straight","50-59","Property","110","100","37020","33000"
"New entrant CS","2022","Heterosexual / straight","50-59","Security","110","100","30900","26570"
"New entrant CS","2022","Heterosexual / straight","50-59","Unknown","670","640","33740","27570"
"New entrant CS","2022","Heterosexual / straight","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","No function","930","840","29100","26400"
"New entrant CS","2022","Heterosexual / straight","60-64","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","60-64","Unknown","90","80","31450","26820"
"New entrant CS","2022","Heterosexual / straight","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","No function","260","210","30710","27700"
"New entrant CS","2022","Heterosexual / straight","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","No function","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Analysis","110","100","30030","30710"
"New entrant CS","2022","LGBO","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Communications","60","60","29730","27270"
"New entrant CS","2022","LGBO","20-29","Counter Fraud","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Debt","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Digital, Data & Technology","100","100","31050","30330"
"New entrant CS","2022","LGBO","20-29","Finance","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Human Resources","60","50","26800","26130"
"New entrant CS","2022","LGBO","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Legal","50","50","29050","25480"
"New entrant CS","2022","LGBO","20-29","No function","1500","1480","26240","24370"
"New entrant CS","2022","LGBO","20-29","Project Delivery","60","50","28310","27540"
"New entrant CS","2022","LGBO","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","20-29","Unknown","220","220","27360","27230"
"New entrant CS","2022","LGBO","30-39","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Communications","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Digital, Data & Technology","70","60","39710","37300"
"New entrant CS","2022","LGBO","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Human Resources","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","No function","650","640","28790","27060"
"New entrant CS","2022","LGBO","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","30-39","Unknown","120","120","32560","27750"
"New entrant CS","2022","LGBO","40-49","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","No function","300","290","31870","27570"
"New entrant CS","2022","LGBO","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","40-49","Unknown","60","60","34890","27940"
"New entrant CS","2022","LGBO","50-59","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","50-59","Commercial","[c]","[c]","[c]","[c]"
