"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Operational Delivery","50","40","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Policy","40","40","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Policy","40","40","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Operational Delivery","100","100","23770","21050"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Policy","150","150","36690","32560"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","International Trade","80","80","35390","31800"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","International Trade","50","50","29960","31800"
"New entrant CS","2021","Department for International Trade","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Digital, Data and Technology","80","80","37220","31350"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Operational Delivery","230","210","24400","21590"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Other","30","30","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Policy","110","110","35930","34710"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
