"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Analysis","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Delivery","UK Statistics Authority","60","60","29810","30210"
"New entrant CS","2022","Analysis","Operational Research","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Other","Chancellor's other departments","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Other","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Other","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"New entrant CS","2022","Analysis","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Policy","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Policy","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Science and Engineering","Department for Environment, Food and Rural Affairs","60","60","27180","26670"
"New entrant CS","2022","Analysis","Science and Engineering","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Social Research","UK Statistics Authority","160","150","33580","30710"
"New entrant CS","2022","Analysis","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","HM Revenue and Customs","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Statistics","UK Statistics Authority","100","100","33930","30710"
"New entrant CS","2022","Analysis","Tax","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department for Work and Pensions","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Cabinet Office","50","50","30340","30420"
"New entrant CS","2022","Commercial","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department for Education","80","70","31570","29360"
"New entrant CS","2022","Commercial","Commercial","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department for Transport","50","50","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Department of Health and Social Care","130","70","44740","40650"
"New entrant CS","2022","Commercial","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Ministry of Defence","180","170","28990","26670"
"New entrant CS","2022","Commercial","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Operational Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Operational Delivery","UK Export Finance","50","50","[c]","[c]"
"New entrant CS","2022","Commercial","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Property","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Cabinet Office","240","240","68050","68250"
"New entrant CS","2022","Commercial","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Communications","Department for Education","40","40","[c]","[c]"
