"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Declared non-disabled","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Unknown","440","430","26420","27570"
"New entrant CS","2021","Declared non-disabled","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Operational Delivery","50","40","32680","28590"
"New entrant CS","2021","Declared non-disabled","65+","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","65+","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Operational Delivery","170","160","25590","23140"
"New entrant CS","2021","Undeclared","20-29","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Policy","120","120","33240","32320"
"New entrant CS","2021","Undeclared","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Unknown","250","250","26800","27570"
"New entrant CS","2021","Undeclared","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Operational Delivery","90","90","29720","25500"
"New entrant CS","2021","Undeclared","30-39","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Policy","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Unknown","190","190","29200","27570"
"New entrant CS","2021","Undeclared","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Operational Delivery","70","60","33560","28080"
"New entrant CS","2021","Undeclared","40-49","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Unknown","140","130","29350","27570"
"New entrant CS","2021","Undeclared","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Operational Delivery","70","70","33260","28000"
"New entrant CS","2021","Undeclared","50-59","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Unknown","110","110","27790","27570"
"New entrant CS","2021","Undeclared","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","65+","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Operational Delivery","170","170","20920","20880"
"New entrant CS","2021","Unknown","16-19","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Science and Engineering","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Tax","80","70","20280","20140"
"New entrant CS","2021","Unknown","16-19","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Commercial","90","90","30150","27890"
"New entrant CS","2021","Unknown","20-29","Communications","140","140","29180","27850"
"New entrant CS","2021","Unknown","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Digital, Data and Technology","310","310","31770","31260"
"New entrant CS","2021","Unknown","20-29","Economics","160","160","30280","32390"
"New entrant CS","2021","Unknown","20-29","Finance","120","120","29060","28500"
"New entrant CS","2021","Unknown","20-29","Human Resources","110","110","27030","27270"
"New entrant CS","2021","Unknown","20-29","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","International Trade","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Legal","150","150","33230","28600"
"New entrant CS","2021","Unknown","20-29","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Operational Delivery","3670","3620","23830","22350"
"New entrant CS","2021","Unknown","20-29","Operational Research","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Other","260","250","27220","27070"
"New entrant CS","2021","Unknown","20-29","Planning","[c]","[c]","[c]","[c]"
