"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Welsh Government","Finance","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Human Resources","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Internal Audit","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Medicine","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Operational Delivery","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Other","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Planning","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Policy","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Policy","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Statistics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Digital, Data and Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Digital, Data and Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Legal","Crown Prosecution Service","350","330","44830","48080"
"New entrant CS","2021","Attorney General's Departments","Legal","Government Legal Department","190","180","47230","50500"
"New entrant CS","2021","Attorney General's Departments","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Operational Delivery","Crown Prosecution Service","350","350","21520","20120"
"New entrant CS","2021","Attorney General's Departments","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Other","Government Legal Department","60","60","27170","26950"
"New entrant CS","2021","Attorney General's Departments","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Policy","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Digital, Data and Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Unknown","Cabinet Office (excl. agencies)","1710","1690","39790","28000"
"New entrant CS","2021","Chancellor's other departments","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Knowledge and Information Management","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Other","Government Actuary's Department","30","30","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Other","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Other","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Unknown","Charity Commission","30","30","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Commercial","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Commercial","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Communications","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Communications","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Met Office","40","30","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","UK Intellectual Property Office","30","30","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Finance","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Human Resources","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Legal","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Legal","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Advisory, Conciliation and Arbitration Service","150","140","25640","24250"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","80","37300","33570"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Insolvency Service","170","170","22230","20880"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","UK Intellectual Property Office","120","120","24460","23320"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
