"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","G6/G7","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Security","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Work and Pensions","170","170","58160","56140"
"New entrant CS","2021","G6/G7","Unknown","Department of Health and Social Care","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Home Office","230","220","59700","57430"
"New entrant CS","2021","G6/G7","Unknown","Ministry of Defence","90","70","73020","74910"
"New entrant CS","2021","G6/G7","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Scottish Government","220","210","55580","52480"
"New entrant CS","2021","G6/G7","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Commercial","Cabinet Office","150","150","80850","71000"
"New entrant CS","2021","SCS","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Communications","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Department of Health and Social Care","100","70","97030","91300"
"New entrant CS","2021","SCS","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Department for International Trade","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Department for Transport","70","70","34290","34710"
"New entrant CS","2021","SEO/HEO","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","HM Revenue and Customs","100","100","34330","36160"
"New entrant CS","2021","SEO/HEO","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Ministry of Justice","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Analysis","United Kingdom Statistics Authority","310","310","32630","32540"
"New entrant CS","2021","SEO/HEO","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
