"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Veterinarian","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Commercial","370","330","32850","30420"
"New entrant CS","2022","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Finance","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Commercial","280","250","33040","29920"
"New entrant CS","2022","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Communications","340","320","36450","33390"
"New entrant CS","2022","Communications","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Communications","190","180","35990","32670"
"New entrant CS","2022","Communications","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Female","Counter Fraud","410","390","26000","27570"
"New entrant CS","2022","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Male","Counter Fraud","290","290","26750","27570"
"New entrant CS","2022","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Digital, Data & Technology","890","860","36190","33370"
"New entrant CS","2022","Digital, Data and Technology","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Female","Unknown","80","70","42590","41950"
"New entrant CS","2022","Digital, Data and Technology","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Digital, Data & Technology","1570","1540","38090","34260"
"New entrant CS","2022","Digital, Data and Technology","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Male","Unknown","180","180","46990","41950"
"New entrant CS","2022","Economics","Female","Analysis","110","100","31500","30710"
"New entrant CS","2022","Economics","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Male","Analysis","190","190","36320","31800"
"New entrant CS","2022","Economics","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Male","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Finance","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Finance","530","480","34290","31900"
"New entrant CS","2022","Finance","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Female","Unknown","70","70","36580","30200"
"New entrant CS","2022","Finance","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Finance","450","420","34690","31990"
"New entrant CS","2022","Finance","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Male","Unknown","80","80","36420","33000"
"New entrant CS","2022","Geography","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Male","No function","50","50","27790","20420"
"New entrant CS","2022","Human Resources","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Human Resources","750","710","32830","29180"
"New entrant CS","2022","Human Resources","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Human Resources","300","280","34920","30450"
"New entrant CS","2022","Human Resources","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Female","No function","120","120","55860","46360"
"New entrant CS","2022","Inspector of Education and Training","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Male","No function","40","40","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Female","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Male","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Male","Security","40","40","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Male","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2022","Internal Audit","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Female","No function","110","110","36840","31800"
"New entrant CS","2022","International Trade","Male","No function","90","90","37190","31800"
"New entrant CS","2022","Knowledge and Information Management","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Female","No function","80","80","30620","28040"
