"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","LGBO","G6/G7","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Digital, Data and Technology","80","80","35260","33520"
"New entrant CS","2022","LGBO","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Operational Delivery","150","150","35110","33140"
"New entrant CS","2022","LGBO","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Policy","220","220","34330","33570"
"New entrant CS","2022","LGBO","SEO/HEO","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Science and Engineering","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Social Research","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Tax","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","SEO/HEO","Unknown","140","140","34980","33310"
"New entrant CS","2022","LGBO","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Operational Delivery","420","400","28590","24800"
"New entrant CS","2022","LGBO","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Operational Delivery","560","540","21950","21260"
"New entrant CS","2022","Undeclared","AA/AO","Other","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Unknown","60","60","21930","21260"
"New entrant CS","2022","Undeclared","EO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Communications","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Finance","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Human Resources","50","30","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Operational Delivery","340","310","27680","27570"
"New entrant CS","2022","Undeclared","EO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Other","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Policy","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Tax","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Unknown","80","80","26980","27230"
"New entrant CS","2022","Undeclared","EO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Digital, Data and Technology","60","50","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Operational Delivery","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Policy","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Unknown","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Commercial","70","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Digital, Data and Technology","120","100","34890","33080"
"New entrant CS","2022","Undeclared","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Finance","60","30","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Operational Delivery","150","140","35360","34380"
"New entrant CS","2022","Undeclared","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Policy","220","200","34530","33570"
"New entrant CS","2022","Undeclared","SEO/HEO","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Science and Engineering","70","60","35020","33000"
"New entrant CS","2022","Undeclared","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Unknown","100","90","36070","34550"
"New entrant CS","2022","Undeclared","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Operational Delivery","310","290","30560","28200"
"New entrant CS","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Finance","40","30","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Human Resources","50","50","21410","21170"
"New entrant CS","2022","Unknown","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Operational Delivery","6100","5910","22130","21300"
