"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","LGBO","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Psychology","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Psychology","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Psychology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Psychology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Science and Engineering","20-29","70","60","27470","26370"
"New entrant CS","2022","LGBO","Science and Engineering","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Science and Engineering","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Science and Engineering","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Research","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Research","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Research","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Research","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Research","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Research","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Statistics","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Statistics","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Statistics","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Statistics","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Statistics","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Statistics","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Tax","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Tax","20-29","100","100","26120","26590"
"New entrant CS","2022","LGBO","Tax","30-39","60","50","28210","26590"
"New entrant CS","2022","LGBO","Tax","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Tax","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Tax","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Tax","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","20-29","230","230","28060","27230"
"New entrant CS","2022","LGBO","Unknown","30-39","140","140","34760","31540"
"New entrant CS","2022","LGBO","Unknown","40-49","50","40","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Veterinarian","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","20-29","40","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","20-29","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data and Technology","20-29","90","80","29190","30130"
"New entrant CS","2022","Undeclared","Digital, Data and Technology","30-39","70","60","40510","36830"
"New entrant CS","2022","Undeclared","Digital, Data and Technology","40-49","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data and Technology","50-59","40","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Economics","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Economics","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Economics","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Economics","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","20-29","60","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","30-39","40","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Geography","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","20-29","60","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","International Trade","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","International Trade","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","International Trade","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Medicine","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Medicine","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Medicine","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Medicine","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Medicine","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Operational Delivery","20-29","530","500","24920","23170"
"New entrant CS","2022","Undeclared","Operational Delivery","30-39","320","300","28940","26880"
"New entrant CS","2022","Undeclared","Operational Delivery","40-49","230","210","31310","27570"
"New entrant CS","2022","Undeclared","Operational Delivery","50-59","230","220","30370","27570"
"New entrant CS","2022","Undeclared","Operational Delivery","60-64","60","50","29400","28200"
"New entrant CS","2022","Undeclared","Operational Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Operational Research","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Operational Research","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Other","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Other","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Other","30-39","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Other","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Other","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Other","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Policy","20-29","180","170","32170","32560"
"New entrant CS","2022","Undeclared","Policy","30-39","80","70","38950","36740"
"New entrant CS","2022","Undeclared","Policy","40-49","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Policy","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Policy","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Policy","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Policy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Psychology","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Psychology","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Science and Engineering","20-29","50","50","26730","26370"
"New entrant CS","2022","Undeclared","Science and Engineering","30-39","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Science and Engineering","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Science and Engineering","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Social Research","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Social Research","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Social Research","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Social Research","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Statistics","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Statistics","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Tax","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Tax","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Tax","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Tax","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","20-29","140","130","29410","27500"
"New entrant CS","2022","Undeclared","Unknown","30-39","80","70","35940","31540"
"New entrant CS","2022","Undeclared","Unknown","40-49","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","50-59","30","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","20-29","80","80","28140","26670"
"New entrant CS","2022","Unknown","Commercial","30-39","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","40-49","[c]","[c]","[c]","[c]"
