"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Legal","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Declared non-disabled","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Legal","Declared non-disabled","Legal","550","530","45390","47500"
"New entrant CS","2022","Legal","Declared non-disabled","No function","50","50","[c]","[c]"
"New entrant CS","2022","Legal","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","Legal","110","110","41910","40880"
"New entrant CS","2022","Legal","Unknown","No function","70","60","34460","34260"
"New entrant CS","2022","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Declared non-disabled","No function","50","40","72280","84560"
"New entrant CS","2022","Medicine","Declared non-disabled","Unknown","110","100","42330","34170"
"New entrant CS","2022","Medicine","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","Unknown","130","110","44980","39030"
"New entrant CS","2022","Operational Delivery","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Legal","50","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","No function","2810","2680","27060","25120"
"New entrant CS","2022","Operational Delivery","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared disabled","Unknown","50","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Analysis","70","70","29930","29270"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Commercial","50","50","38130","34180"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Communications","240","230","26960","26590"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Counter Fraud","200","200","24450","21260"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Debt","260","250","21290","21250"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Finance","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Grants Management","500","480","21600","21300"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Human Resources","80","80","27620","27570"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Legal","240","230","22400","21250"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","No function","17660","17020","26230","24090"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Project Delivery","90","80","28040","24530"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Property","80","80","22660","22010"
"New entrant CS","2022","Operational Delivery","Declared non-disabled","Unknown","90","80","26610","24880"
"New entrant CS","2022","Operational Delivery","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","No function","890","840","27040","26130"
"New entrant CS","2022","Operational Delivery","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","Analysis","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","Communications","220","220","26580","26590"
"New entrant CS","2022","Operational Delivery","Unknown","Counter Fraud","110","100","25330","26590"
"New entrant CS","2022","Operational Delivery","Unknown","Debt","230","220","21570","21250"
"New entrant CS","2022","Operational Delivery","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","Legal","80","80","22850","22200"
"New entrant CS","2022","Operational Delivery","Unknown","No function","10630","10030","26630","24080"
"New entrant CS","2022","Operational Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","Property","130","130","22300","21750"
"New entrant CS","2022","Operational Delivery","Unknown","Unknown","1700","1590","26050","24880"
"New entrant CS","2022","Operational Research","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared non-disabled","Analysis","70","70","31820","31000"
"New entrant CS","2022","Operational Research","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Debt","40","40","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","No function","90","90","28420","24250"
"New entrant CS","2022","Other","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared disabled","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Analysis","60","60","40060","34710"
"New entrant CS","2022","Other","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Debt","230","220","21850","21260"
"New entrant CS","2022","Other","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Legal","90","80","27700","26950"
"New entrant CS","2022","Other","Declared non-disabled","No function","560","550","29680","25750"
"New entrant CS","2022","Other","Declared non-disabled","Project Delivery","150","150","28330","26000"
"New entrant CS","2022","Other","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Declared non-disabled","Unknown","380","370","26450","21170"
"New entrant CS","2022","Other","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","No function","120","110","27530","21640"
"New entrant CS","2022","Other","Unknown","Project Delivery","80","70","27040","22450"
"New entrant CS","2022","Other","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","Unknown","560","550","24310","21170"
"New entrant CS","2022","Planning","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Declared non-disabled","Unknown","40","30","[c]","[c]"
"New entrant CS","2022","Planning","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
