"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Operational Delivery","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","No function","16-19","490","460","21820","21260"
"New entrant CS","2022","Operational Delivery","No function","20-29","11860","11620","24410","23140"
"New entrant CS","2022","Operational Delivery","No function","30-39","7390","7060","26590","24800"
"New entrant CS","2022","Operational Delivery","No function","40-49","5410","5130","28720","26310"
"New entrant CS","2022","Operational Delivery","No function","50-59","5050","4760","28370","26310"
"New entrant CS","2022","Operational Delivery","No function","60-64","1360","1210","28040","26400"
"New entrant CS","2022","Operational Delivery","No function","65+","430","330","29440","27570"
"New entrant CS","2022","Operational Delivery","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Project Delivery","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Property","20-29","80","80","22620","21750"
"New entrant CS","2022","Operational Delivery","Property","30-39","70","70","22370","22010"
"New entrant CS","2022","Operational Delivery","Property","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Property","50-59","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","16-19","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","20-29","770","760","24540","24880"
"New entrant CS","2022","Operational Delivery","Unknown","30-39","400","390","25250","24880"
"New entrant CS","2022","Operational Delivery","Unknown","40-49","230","230","25990","24880"
"New entrant CS","2022","Operational Delivery","Unknown","50-59","340","270","29690","27370"
"New entrant CS","2022","Operational Delivery","Unknown","60-64","60","30","31640","34630"
"New entrant CS","2022","Operational Delivery","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Analysis","20-29","60","60","29160","28950"
"New entrant CS","2022","Operational Research","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Analysis","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Analysis","20-29","50","50","35000","30000"
"New entrant CS","2022","Other","Analysis","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Other","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Communications","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Communications","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Debt","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Debt","20-29","110","110","21700","21260"
"New entrant CS","2022","Other","Debt","30-39","70","70","21540","21260"
"New entrant CS","2022","Other","Debt","40-49","50","50","21910","21260"
"New entrant CS","2022","Other","Debt","50-59","50","50","22210","21260"
"New entrant CS","2022","Other","Debt","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Debt","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Finance","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Human Resources","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Legal","20-29","70","70","26800","26950"
"New entrant CS","2022","Other","Legal","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","No function","20-29","410","410","24010","21450"
"New entrant CS","2022","Other","No function","30-39","180","170","32500","28040"
"New entrant CS","2022","Other","No function","40-49","120","110","41600","32780"
"New entrant CS","2022","Other","No function","50-59","50","50","33370","25050"
"New entrant CS","2022","Other","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Project Delivery","20-29","80","80","22430","21500"
"New entrant CS","2022","Other","Project Delivery","30-39","60","60","29740","27500"
"New entrant CS","2022","Other","Project Delivery","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Other","Project Delivery","50-59","50","50","32030","29000"
"New entrant CS","2022","Other","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Property","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Security","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Security","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","20-29","300","300","22870","21170"
"New entrant CS","2022","Other","Unknown","30-39","220","210","25420","21170"
"New entrant CS","2022","Other","Unknown","40-49","210","210","26990","26350"
"New entrant CS","2022","Other","Unknown","50-59","210","210","27240","23170"
"New entrant CS","2022","Other","Unknown","60-64","30","30","[c]","[c]"
"New entrant CS","2022","Other","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Analysis","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Policy","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Communications","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Communications","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Human Resources","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Human Resources","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Legal","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","No function","16-19","30","30","[c]","[c]"
"New entrant CS","2022","Policy","No function","20-29","1910","1880","32870","32560"
"New entrant CS","2022","Policy","No function","30-39","850","820","39660","36500"
"New entrant CS","2022","Policy","No function","40-49","390","380","42930","39300"
"New entrant CS","2022","Policy","No function","50-59","210","200","42450","36890"
"New entrant CS","2022","Policy","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Project Delivery","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Policy","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Unknown","20-29","180","180","33220","31210"
"New entrant CS","2022","Policy","Unknown","30-39","80","80","41180","40100"
"New entrant CS","2022","Policy","Unknown","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Policy","Unknown","50-59","40","40","[c]","[c]"
"New entrant CS","2022","Policy","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Human Resources","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Legal","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","No function","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Project Delivery","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Project Delivery","20-29","310","310","30030","28160"
"New entrant CS","2022","Project Delivery","Project Delivery","30-39","290","280","37980","37100"
"New entrant CS","2022","Project Delivery","Project Delivery","40-49","220","220","41660","39600"
"New entrant CS","2022","Project Delivery","Project Delivery","50-59","140","140","45340","40180"
"New entrant CS","2022","Project Delivery","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Property","40-49","[c]","[c]","[c]","[c]"
