"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","EO","Declared non-disabled","Analysis","150","150","26730","26250"
"New entrant CS","2022","EO","Declared non-disabled","Commercial","110","110","26130","26350"
"New entrant CS","2022","EO","Declared non-disabled","Communications","410","400","26620","26590"
"New entrant CS","2022","EO","Declared non-disabled","Counter Fraud","550","540","27670","27570"
"New entrant CS","2022","EO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared non-disabled","Digital, Data & Technology","330","320","26230","26350"
"New entrant CS","2022","EO","Declared non-disabled","Finance","170","160","25600","26130"
"New entrant CS","2022","EO","Declared non-disabled","Grants Management","30","30","[c]","[c]"
"New entrant CS","2022","EO","Declared non-disabled","Human Resources","210","200","26120","26590"
"New entrant CS","2022","EO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared non-disabled","Legal","220","220","27090","26950"
"New entrant CS","2022","EO","Declared non-disabled","No function","5080","4970","27460","27570"
"New entrant CS","2022","EO","Declared non-disabled","Project Delivery","300","300","23870","24150"
"New entrant CS","2022","EO","Declared non-disabled","Property","120","110","25250","25000"
"New entrant CS","2022","EO","Declared non-disabled","Security","80","80","27100","26350"
"New entrant CS","2022","EO","Declared non-disabled","Unknown","860","840","27560","27230"
"New entrant CS","2022","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","No function","280","270","27570","27570"
"New entrant CS","2022","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Undeclared","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","EO","Unknown","Analysis","100","90","26980","27270"
"New entrant CS","2022","EO","Unknown","Commercial","80","80","25490","25520"
"New entrant CS","2022","EO","Unknown","Communications","360","330","26740","26590"
"New entrant CS","2022","EO","Unknown","Counter Fraud","220","220","27670","26590"
"New entrant CS","2022","EO","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Unknown","Digital, Data & Technology","210","210","27120","27130"
"New entrant CS","2022","EO","Unknown","Finance","140","120","25100","25000"
"New entrant CS","2022","EO","Unknown","Human Resources","130","110","26020","26590"
"New entrant CS","2022","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Unknown","Legal","60","60","27730","26960"
"New entrant CS","2022","EO","Unknown","No function","1980","1920","27660","27130"
"New entrant CS","2022","EO","Unknown","Project Delivery","150","150","21200","19460"
"New entrant CS","2022","EO","Unknown","Property","130","130","25630","25000"
"New entrant CS","2022","EO","Unknown","Security","100","90","27600","26460"
"New entrant CS","2022","EO","Unknown","Unknown","2300","2170","27280","27230"
"New entrant CS","2022","G6/G7","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Digital, Data & Technology","50","50","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Legal","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","No function","90","90","54980","53370"
"New entrant CS","2022","G6/G7","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared disabled","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Analysis","80","80","56350","53380"
"New entrant CS","2022","G6/G7","Declared non-disabled","Commercial","40","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Communications","40","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Digital, Data & Technology","420","420","55140","54150"
"New entrant CS","2022","G6/G7","Declared non-disabled","Finance","80","80","55550","54170"
"New entrant CS","2022","G6/G7","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Human Resources","100","100","54860","53500"
"New entrant CS","2022","G6/G7","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Legal","280","270","53890","50500"
"New entrant CS","2022","G6/G7","Declared non-disabled","No function","950","920","55990","53130"
"New entrant CS","2022","G6/G7","Declared non-disabled","Project Delivery","170","160","56170","54110"
"New entrant CS","2022","G6/G7","Declared non-disabled","Property","80","70","56130","54700"
"New entrant CS","2022","G6/G7","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Declared non-disabled","Unknown","260","250","57840","54280"
"New entrant CS","2022","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","No function","50","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Analysis","50","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Commercial","200","200","69200","70000"
"New entrant CS","2022","G6/G7","Unknown","Communications","50","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Digital, Data & Technology","190","180","55880","54500"
"New entrant CS","2022","G6/G7","Unknown","Finance","60","50","55390","53390"
"New entrant CS","2022","G6/G7","Unknown","Human Resources","50","50","58180","56130"
"New entrant CS","2022","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Legal","50","50","53900","52080"
"New entrant CS","2022","G6/G7","Unknown","No function","450","430","55830","53360"
"New entrant CS","2022","G6/G7","Unknown","Project Delivery","70","70","57120","54110"
"New entrant CS","2022","G6/G7","Unknown","Property","70","60","56710","54270"
"New entrant CS","2022","G6/G7","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Unknown","Unknown","400","380","59350","57430"
"New entrant CS","2022","SCS","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","No function","80","80","93610","89860"
"New entrant CS","2022","SCS","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","No function","80","80","98900","86100"
"New entrant CS","2022","SCS","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Analysis","80","70","33150","33040"
"New entrant CS","2022","SEO/HEO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Digital, Data & Technology","90","90","35870","35540"
"New entrant CS","2022","SEO/HEO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Human Resources","50","50","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","No function","450","440","34170","33080"
"New entrant CS","2022","SEO/HEO","Declared disabled","Project Delivery","60","50","35000","34710"
"New entrant CS","2022","SEO/HEO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared disabled","Unknown","100","100","35100","33620"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Analysis","570","560","33790","33080"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Commercial","210","200","35790","35000"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Communications","240","230","35200","33080"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Counter Fraud","110","110","35110","33080"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Digital, Data & Technology","730","730","35890","35540"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Finance","210","210","36780","36420"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Human Resources","260","260","34480","33080"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Legal","180","180","40440","41750"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","No function","3780","3700","34530","33080"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Project Delivery","560","550","35940","35000"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Property","200","200","35760","33080"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Security","100","100","35010","32080"
"New entrant CS","2022","SEO/HEO","Declared non-disabled","Unknown","890","870","36250","35250"
"New entrant CS","2022","SEO/HEO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Undeclared","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Undeclared","Finance","[c]","[c]","[c]","[c]"
