"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Undeclared","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","20-29","50","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","20-29","60","50","28600","27270"
"New entrant CS","2022","Undeclared","Communications","30-39","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","20-29","110","100","29670","30000"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","30-39","70","70","40500","37070"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","50-59","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","20-29","60","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","30-39","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","20-29","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","20-29","750","710","27230","26880"
"New entrant CS","2022","Undeclared","No function","30-39","460","430","32430","28590"
"New entrant CS","2022","Undeclared","No function","40-49","300","280","34170","29600"
"New entrant CS","2022","Undeclared","No function","50-59","270","240","31790","28200"
"New entrant CS","2022","Undeclared","No function","60-64","70","60","31120","28590"
"New entrant CS","2022","Undeclared","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","20-29","120","110","28110","27230"
"New entrant CS","2022","Undeclared","Unknown","30-39","80","80","33970","31540"
"New entrant CS","2022","Undeclared","Unknown","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","20-29","190","190","29620","28310"
"New entrant CS","2022","Unknown","Analysis","30-39","50","50","38900","35590"
"New entrant CS","2022","Unknown","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Analysis","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","20-29","90","90","30050","26670"
"New entrant CS","2022","Unknown","Commercial","30-39","110","110","58320","63000"
"New entrant CS","2022","Unknown","Commercial","40-49","90","90","71160","70000"
"New entrant CS","2022","Unknown","Commercial","50-59","60","60","74680","71500"
"New entrant CS","2022","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","20-29","270","270","28520","26590"
"New entrant CS","2022","Unknown","Communications","30-39","140","130","30560","26590"
"New entrant CS","2022","Unknown","Communications","40-49","70","70","31630","26590"
"New entrant CS","2022","Unknown","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","20-29","170","170","27320","26590"
"New entrant CS","2022","Unknown","Counter Fraud","30-39","110","110","28820","26590"
"New entrant CS","2022","Unknown","Counter Fraud","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Debt","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Debt","20-29","160","150","21500","21250"
"New entrant CS","2022","Unknown","Debt","30-39","90","80","22220","21250"
"New entrant CS","2022","Unknown","Debt","40-49","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Debt","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Debt","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","20-29","270","270","31850","28140"
"New entrant CS","2022","Unknown","Digital, Data & Technology","30-39","210","200","38950","36500"
"New entrant CS","2022","Unknown","Digital, Data & Technology","40-49","110","110","43260","40560"
"New entrant CS","2022","Unknown","Digital, Data & Technology","50-59","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Finance","20-29","90","90","28480","27570"
"New entrant CS","2022","Unknown","Finance","30-39","70","70","34930","35000"
"New entrant CS","2022","Unknown","Finance","40-49","50","50","41590","38650"
"New entrant CS","2022","Unknown","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Grants Management","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Grants Management","20-29","130","130","21540","21300"
"New entrant CS","2022","Unknown","Grants Management","30-39","80","80","21510","21300"
"New entrant CS","2022","Unknown","Grants Management","40-49","60","50","21860","21300"
"New entrant CS","2022","Unknown","Grants Management","50-59","50","40","[c]","[c]"
"New entrant CS","2022","Unknown","Grants Management","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Grants Management","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","20-29","120","120","27440","25090"
"New entrant CS","2022","Unknown","Human Resources","30-39","60","60","37610","32790"
"New entrant CS","2022","Unknown","Human Resources","40-49","50","50","38660","32790"
"New entrant CS","2022","Unknown","Human Resources","50-59","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","20-29","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","No function","16-19","230","210","21530","21250"
"New entrant CS","2022","Unknown","No function","20-29","5360","5270","25480","23720"
"New entrant CS","2022","Unknown","No function","30-39","2830","2690","27710","24800"
"New entrant CS","2022","Unknown","No function","40-49","1810","1690","29780","26310"
"New entrant CS","2022","Unknown","No function","50-59","1600","1480","29240","26130"
"New entrant CS","2022","Unknown","No function","60-64","450","390","29530","28200"
"New entrant CS","2022","Unknown","No function","65+","170","120","29600","26690"
"New entrant CS","2022","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Project Delivery","16-19","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Project Delivery","20-29","170","170","27840","25030"
"New entrant CS","2022","Unknown","Project Delivery","30-39","120","110","34820","33900"
"New entrant CS","2022","Unknown","Project Delivery","40-49","90","90","40110","38360"
"New entrant CS","2022","Unknown","Project Delivery","50-59","70","70","40020","37000"
"New entrant CS","2022","Unknown","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Property","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Property","20-29","170","170","26440","25000"
"New entrant CS","2022","Unknown","Property","30-39","110","100","30190","25000"
"New entrant CS","2022","Unknown","Property","40-49","60","60","34540","25000"
"New entrant CS","2022","Unknown","Property","50-59","70","70","33310","25500"
"New entrant CS","2022","Unknown","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Security","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Security","20-29","160","160","25730","25000"
"New entrant CS","2022","Unknown","Security","30-39","80","80","28920","25000"
"New entrant CS","2022","Unknown","Security","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Unknown","Security","50-59","60","60","29480","25000"
"New entrant CS","2022","Unknown","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Security","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","16-19","90","90","21520","21260"
"New entrant CS","2022","Unknown","Unknown","20-29","2030","2000","26380","24880"
"New entrant CS","2022","Unknown","Unknown","30-39","1230","1190","31000","27230"
"New entrant CS","2022","Unknown","Unknown","40-49","800","770","33950","27570"
"New entrant CS","2022","Unknown","Unknown","50-59","760","680","32570","28650"
"New entrant CS","2022","Unknown","Unknown","60-64","130","100","31640","30820"
"New entrant CS","2022","Unknown","Unknown","65+","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
