"Status","Year","Sexual_orientation","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","LGBO","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","50","50","31890","25750"
"New entrant CS","2022","LGBO","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Scottish Government (excl. agencies)","Scottish Government","120","120","34640","31540"
"New entrant CS","2022","LGBO","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Social Security Scotland","Scottish Government","110","110","26780","27230"
"New entrant CS","2022","LGBO","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","UK Health Security Agency","Department of Health and Social Care","140","130","32000","28590"
"New entrant CS","2022","LGBO","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","UK Statistics Authority","UK Statistics Authority","80","80","30020","30710"
"New entrant CS","2022","LGBO","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","70","70","40570","34550"
"New entrant CS","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Crown Prosecution Service","Attorney General's Departments","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Defence Equipment and Support","Ministry of Defence","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Department for Education (excl. agencies)","Department for Education","50","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","110","110","37730","35900"
"New entrant CS","2022","Undeclared","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Department for Transport (excl. agencies)","Department for Transport","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","450","440","26290","27570"
"New entrant CS","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","570","280","36860","32790"
"New entrant CS","2022","Undeclared","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","HM Courts and Tribunals Service","Ministry of Justice","70","60","26730","20970"
"New entrant CS","2022","Undeclared","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","HM Prison and Probation Service","Ministry of Justice","470","440","28870","27060"
"New entrant CS","2022","Undeclared","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","220","220","28140","26590"
"New entrant CS","2022","Undeclared","HM Treasury (excl. agencies)","HM Treasury","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Home Office","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Met Office","Department for Business, Energy and Industrial Strategy","50","50","28740","24380"
"New entrant CS","2022","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","90","90","31690","28380"
"New entrant CS","2022","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
