"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Policy","90","90","31680","28500"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Digital, Data and Technology","170","170","47490","41950"
"New entrant CS","2022","Male","Home Office","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Operational Delivery","900","830","26700","24880"
"New entrant CS","2022","Male","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Policy","60","60","37850","35820"
"New entrant CS","2022","Male","Home Office","Project Delivery","60","60","36300","35050"
"New entrant CS","2022","Male","Home Office","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Home Office","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Institute for Apprenticeships and Technical Education","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Legal Aid Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Operational Delivery","90","90","31270","26840"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Maritime and Coastguard Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Digital, Data and Technology","70","70","24670","24360"
"New entrant CS","2022","Male","Met Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Met Office","Science and Engineering","30","30","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Commercial","40","40","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Digital, Data and Technology","90","90","34090","33000"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Finance","100","100","35820","33000"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Human Resources","60","60","31670","21170"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Medicine","70","50","56670","45840"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Other","350","340","25940","22170"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Policy","40","40","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Project Delivery","100","100","40130","40000"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Property","110","110","31670","33000"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Science and Engineering","100","90","30210","26350"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Security","410","410","26650","25000"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Digital, Data and Technology","80","80","48120","50430"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Operational Delivery","80","70","32900","30450"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Ministry of Justice (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Operational Delivery","250","240","37520","36200"
"New entrant CS","2022","Male","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Infrastructure Commission","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Infrastructure Commission","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Infrastructure Commission","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Records of Scotland","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Male","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Savings and Investments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","National Savings and Investments","Human Resources","[c]","[c]","[c]","[c]"
