"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","LGBO","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Department for Work and Pensions (excl. agencies)","50","50","26880","27570"
"New entrant CS","2022","LGBO","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Home Office","60","60","29910","24880"
"New entrant CS","2022","LGBO","Unknown","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Scottish Government (excl. agencies)","120","120","34640","31540"
"New entrant CS","2022","LGBO","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Social Security Scotland","110","110","26780","27230"
"New entrant CS","2022","LGBO","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department of Health and Social Care (excl. agencies)","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Government Actuary's Department","[c]","[c]","[c]","[c]"
