"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","HM Revenue and Customs","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Legal","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Operational Delivery","270","270","22660","20140"
"New entrant CS","2021","HM Revenue and Customs","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Property","90","90","30780","28940"
"New entrant CS","2021","HM Revenue and Customs","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Statistics","30","30","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Tax","1620","1600","22830","20140"
"New entrant CS","2021","HM Revenue and Customs","Male","Unknown","360","360","27220","20140"
"New entrant CS","2021","HM Treasury","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Policy","130","130","32440","28500"
"New entrant CS","2021","HM Treasury","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Economics","40","40","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Policy","140","140","34440","32320"
"New entrant CS","2021","HM Treasury","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Operational Delivery","500","480","24660","24880"
"New entrant CS","2021","Home Office","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Other","180","170","33760","28650"
"New entrant CS","2021","Home Office","Female","Policy","110","110","40150","35070"
"New entrant CS","2021","Home Office","Female","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Digital, Data and Technology","120","120","51770","52050"
"New entrant CS","2021","Home Office","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Operational Delivery","650","630","25190","24880"
"New entrant CS","2021","Home Office","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Other","160","160","33160","28650"
"New entrant CS","2021","Home Office","Male","Policy","80","80","44200","41950"
"New entrant CS","2021","Home Office","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Commercial","80","80","32350","26670"
"New entrant CS","2021","Ministry of Defence","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Finance","100","100","30140","26350"
"New entrant CS","2021","Ministry of Defence","Female","Human Resources","130","120","27860","20920"
"New entrant CS","2021","Ministry of Defence","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Knowledge and Information Management","30","30","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Medicine","210","180","41260","34720"
"New entrant CS","2021","Ministry of Defence","Female","Operational Delivery","80","80","25630","20960"
"New entrant CS","2021","Ministry of Defence","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Other","490","470","23370","20920"
"New entrant CS","2021","Ministry of Defence","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Project Delivery","240","230","32950","33000"
"New entrant CS","2021","Ministry of Defence","Female","Property","70","70","27150","26350"
"New entrant CS","2021","Ministry of Defence","Female","Science and Engineering","110","100","29410","27540"
"New entrant CS","2021","Ministry of Defence","Female","Security","100","100","23980","20920"
"New entrant CS","2021","Ministry of Defence","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Commercial","80","80","32880","30750"
"New entrant CS","2021","Ministry of Defence","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Digital, Data and Technology","90","90","36910","33290"
"New entrant CS","2021","Ministry of Defence","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Finance","80","80","31450","26350"
"New entrant CS","2021","Ministry of Defence","Male","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Knowledge and Information Management","40","40","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Medicine","70","60","52020","37890"
"New entrant CS","2021","Ministry of Defence","Male","Operational Delivery","50","50","29800","21920"
"New entrant CS","2021","Ministry of Defence","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Other","470","470","26100","21820"
"New entrant CS","2021","Ministry of Defence","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Project Delivery","290","290","37890","35750"
"New entrant CS","2021","Ministry of Defence","Male","Property","140","140","32500","33000"
"New entrant CS","2021","Ministry of Defence","Male","Science and Engineering","420","420","29830","27540"
"New entrant CS","2021","Ministry of Defence","Male","Security","490","490","26650","23540"
"New entrant CS","2021","Ministry of Defence","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Male","Unknown","60","60","33330","33000"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
