"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","LGBO","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Cabinet Office","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Business, Energy and Industrial Strategy","80","80","32700","32040"
"New entrant CS","2022","LGBO","No function","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Education","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Environment, Food and Rural Affairs","170","160","33640","32560"
"New entrant CS","2022","LGBO","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Levelling Up, Housing and Communities","60","60","33050","31480"
"New entrant CS","2022","LGBO","No function","Department for Transport","100","100","28400","26130"
"New entrant CS","2022","LGBO","No function","Department for Work and Pensions","580","570","24950","26370"
"New entrant CS","2022","LGBO","No function","Department of Health and Social Care","160","140","33230","28590"
"New entrant CS","2022","LGBO","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","HM Revenue and Customs","250","240","26110","26590"
"New entrant CS","2022","LGBO","No function","HM Treasury","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Ministry of Defence","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Ministry of Justice","940","930","26280","23170"
"New entrant CS","2022","LGBO","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Scottish Government","50","50","22490","21050"
"New entrant CS","2022","LGBO","No function","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Department for Work and Pensions","50","50","26880","27570"
"New entrant CS","2022","LGBO","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Home Office","60","60","29910","24880"
"New entrant CS","2022","LGBO","Unknown","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Scottish Government","260","250","30730","27230"
"New entrant CS","2022","LGBO","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Department of Health and Social Care","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","UK Statistics Authority","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Department of Health and Social Care","70","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","Department for Education","[c]","[c]","[c]","[c]"
