"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Unknown","Declared non-disabled","160","160","28410","26250"
"New entrant CS","2021","Unknown","Unknown","Undeclared","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","4180","4090","32940","28000"
"New entrant CS","2021","Unknown","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","Declared non-disabled","320","310","31880","30420"
"New entrant CS","2022","Heterosexual / straight","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","Unknown","130","130","33810","30980"
"New entrant CS","2022","Heterosexual / straight","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Communications","Declared non-disabled","210","200","37330","33150"
"New entrant CS","2022","Heterosexual / straight","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Communications","Unknown","70","60","35270","32940"
"New entrant CS","2022","Heterosexual / straight","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","Declared disabled","70","70","26400","25110"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","Declared non-disabled","490","480","26210","27570"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Digital, Data and Technology","Declared disabled","120","110","36790","33080"
"New entrant CS","2022","Heterosexual / straight","Digital, Data and Technology","Declared non-disabled","1200","1190","38370","35900"
"New entrant CS","2022","Heterosexual / straight","Digital, Data and Technology","Undeclared","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Digital, Data and Technology","Unknown","270","270","38670","36270"
"New entrant CS","2022","Heterosexual / straight","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Economics","Declared non-disabled","190","190","34920","30880"
"New entrant CS","2022","Heterosexual / straight","Economics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Economics","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Finance","Declared disabled","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Finance","Declared non-disabled","500","490","34830","33000"
"New entrant CS","2022","Heterosexual / straight","Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Finance","Unknown","180","170","34680","30750"
"New entrant CS","2022","Heterosexual / straight","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","Declared disabled","60","60","33390","31560"
"New entrant CS","2022","Heterosexual / straight","Human Resources","Declared non-disabled","520","500","33390","30450"
"New entrant CS","2022","Heterosexual / straight","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","Unknown","120","110","32130","27270"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","Declared non-disabled","140","140","58640","51360"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","Declared non-disabled","80","80","30160","28700"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","Declared non-disabled","80","80","36800","31800"
"New entrant CS","2022","Heterosexual / straight","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","Declared non-disabled","130","130","31450","29180"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","Declared disabled","60","60","42320","42300"
"New entrant CS","2022","Heterosexual / straight","Legal","Declared non-disabled","570","550","43980","43920"
"New entrant CS","2022","Heterosexual / straight","Legal","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","Unknown","50","50","43730","45350"
"New entrant CS","2022","Heterosexual / straight","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Medicine","Declared non-disabled","150","130","50940","39470"
"New entrant CS","2022","Heterosexual / straight","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Medicine","Unknown","40","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","Declared disabled","2320","2210","27000","24950"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","Declared non-disabled","16720","16130","26150","24090"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","Undeclared","630","600","26530","25110"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","Unknown","1490","1410","28470","25000"
"New entrant CS","2022","Heterosexual / straight","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","Declared non-disabled","50","50","32820","31000"
"New entrant CS","2022","Heterosexual / straight","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Other","Declared disabled","150","140","26530","21260"
"New entrant CS","2022","Heterosexual / straight","Other","Declared non-disabled","1290","1270","27690","24250"
"New entrant CS","2022","Heterosexual / straight","Other","Undeclared","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Other","Unknown","180","170","27690","21470"
"New entrant CS","2022","Heterosexual / straight","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Policy","Declared disabled","220","210","35760","32560"
"New entrant CS","2022","Heterosexual / straight","Policy","Declared non-disabled","1760","1740","37210","34020"
"New entrant CS","2022","Heterosexual / straight","Policy","Undeclared","110","100","34980","33570"
"New entrant CS","2022","Heterosexual / straight","Policy","Unknown","380","370","34790","32790"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","Declared disabled","60","60","35180","33080"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","Declared non-disabled","580","570","37580","34710"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","Unknown","80","80","40880","37980"
"New entrant CS","2022","Heterosexual / straight","Property","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Declared non-disabled","330","320","35410","33000"
"New entrant CS","2022","Heterosexual / straight","Property","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Unknown","80","80","38670","33000"
"New entrant CS","2022","Heterosexual / straight","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Psychology","Declared non-disabled","110","100","26910","27070"
"New entrant CS","2022","Heterosexual / straight","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Psychology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","Declared disabled","90","80","31650","30460"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","Declared non-disabled","850","820","33520","30930"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","Unknown","60","60","36300","33000"
"New entrant CS","2022","Heterosexual / straight","Security","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Declared non-disabled","250","250","29350","25000"
"New entrant CS","2022","Heterosexual / straight","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Unknown","80","70","27810","25000"
"New entrant CS","2022","Heterosexual / straight","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Social Research","Declared non-disabled","150","140","35190","31210"
"New entrant CS","2022","Heterosexual / straight","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Social Research","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","Declared non-disabled","160","160","33220","30960"
"New entrant CS","2022","Heterosexual / straight","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Tax","Declared disabled","90","90","27860","26590"
"New entrant CS","2022","Heterosexual / straight","Tax","Declared non-disabled","1310","1290","27660","26590"
"New entrant CS","2022","Heterosexual / straight","Tax","Undeclared","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Tax","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Declared disabled","320","310","30310","27230"
"New entrant CS","2022","Heterosexual / straight","Unknown","Declared non-disabled","2720","2670","32350","27570"
"New entrant CS","2022","Heterosexual / straight","Unknown","Undeclared","90","90","30170","27570"
"New entrant CS","2022","Heterosexual / straight","Unknown","Unknown","220","210","33660","31540"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","Declared non-disabled","100","100","35910","32930"
"New entrant CS","2022","LGBO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Declared non-disabled","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Undeclared","[c]","[c]","[c]","[c]"
