"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Other ethnicity","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Operational Delivery","170","160","26350","24800"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","LGBO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Digital, Data and Technology","50","50","39360","36560"
"New entrant CS","2022","Undeclared","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Operational Delivery","310","300","30030","27570"
"New entrant CS","2022","Undeclared","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Policy","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","Unknown","70","70","34030","31540"
"New entrant CS","2022","Undeclared","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Operational Delivery","160","160","26590","25060"
"New entrant CS","2022","Unknown","Heterosexual / straight","Other","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Commercial","80","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Communications","70","40","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Digital, Data and Technology","70","40","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Finance","90","40","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Human Resources","50","30","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Operational Delivery","90","60","36920","28970"
"New entrant CS","2022","Unknown","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Policy","80","60","36840","32790"
"New entrant CS","2022","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","Unknown","40","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Commercial","140","140","33810","28650"
"New entrant CS","2022","Unknown","Unknown","Communications","130","120","35170","33570"
"New entrant CS","2022","Unknown","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Counter Fraud","60","60","26350","27570"
"New entrant CS","2022","Unknown","Unknown","Digital, Data and Technology","700","690","39320","35050"
"New entrant CS","2022","Unknown","Unknown","Economics","80","80","32850","32390"
"New entrant CS","2022","Unknown","Unknown","Finance","250","250","35460","33000"
"New entrant CS","2022","Unknown","Unknown","Geography","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Human Resources","210","210","36060","29180"
"New entrant CS","2022","Unknown","Unknown","Intelligence Analysis","80","80","29050","28680"
"New entrant CS","2022","Unknown","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","International Trade","60","60","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Knowledge and Information Management","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Legal","150","140","36010","32210"
"New entrant CS","2022","Unknown","Unknown","Medicine","100","80","44060","35630"
"New entrant CS","2022","Unknown","Unknown","Operational Delivery","11650","11010","25800","23720"
"New entrant CS","2022","Unknown","Unknown","Operational Research","30","30","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Other","640","630","25560","21260"
"New entrant CS","2022","Unknown","Unknown","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Policy","720","710","36850","34000"
"New entrant CS","2022","Unknown","Unknown","Project Delivery","290","280","37820","35050"
"New entrant CS","2022","Unknown","Unknown","Property","240","230","32550","27650"
"New entrant CS","2022","Unknown","Unknown","Psychology","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Science and Engineering","260","260","28400","26030"
"New entrant CS","2022","Unknown","Unknown","Security","260","260","27160","25000"
"New entrant CS","2022","Unknown","Unknown","Social Research","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Statistics","80","80","28120","26350"
"New entrant CS","2022","Unknown","Unknown","Tax","680","670","26760","26590"
"New entrant CS","2022","Unknown","Unknown","Unknown","3590","3490","33140","28000"
"New entrant CS","2022","Unknown","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","White","Heterosexual / straight","Commercial","390","380","31870","30070"
"New entrant CS","2022","White","Heterosexual / straight","Communications","240","240","37690","34020"
"New entrant CS","2022","White","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","White","Heterosexual / straight","Counter Fraud","400","390","26030","27570"
"New entrant CS","2022","White","Heterosexual / straight","Digital, Data and Technology","1150","1140","38450","35900"
"New entrant CS","2022","White","Heterosexual / straight","Economics","180","170","35860","31210"
"New entrant CS","2022","White","Heterosexual / straight","Finance","540","530","34810","33000"
"New entrant CS","2022","White","Heterosexual / straight","Geography","50","50","[c]","[c]"
"New entrant CS","2022","White","Heterosexual / straight","Human Resources","540","510","33470","30450"
"New entrant CS","2022","White","Heterosexual / straight","Inspector of Education and Training","130","130","59970","51360"
"New entrant CS","2022","White","Heterosexual / straight","Intelligence Analysis","80","80","29720","28700"
"New entrant CS","2022","White","Heterosexual / straight","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2022","White","Heterosexual / straight","International Trade","80","80","38550","31800"
"New entrant CS","2022","White","Heterosexual / straight","Knowledge and Information Management","120","110","30830","29180"
"New entrant CS","2022","White","Heterosexual / straight","Legal","490","470","43600","42630"
"New entrant CS","2022","White","Heterosexual / straight","Medicine","170","140","52160","40060"
