"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Heterosexual / straight","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Unknown","13930","13650","27040","27570"
"New entrant CS","2021","Heterosexual / straight","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Statistics","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Communications","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Debt","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Debt","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Digital, Data and Technology","70","70","37220","35470"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Human Resources","50","40","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Internal Audit","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Legal","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Operational Delivery","740","720","24990","22920"
"New entrant CS","2021","LGBO","No function","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Other","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Policy","250","250","35270","32960"
"New entrant CS","2021","LGBO","No function","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Science and Engineering","80","70","28270","26880"
"New entrant CS","2021","LGBO","No function","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Tax","60","50","22500","20140"
"New entrant CS","2021","LGBO","No function","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Project Delivery","60","60","34690","33000"
"New entrant CS","2021","LGBO","Project Delivery","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Security","Security","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Other","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Unknown","1460","1450","26730","27570"
"New entrant CS","2021","LGBO","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Statistics","[c]","[c]","[c]","[c]"
