"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Human Resources","AA/AO","Ministry of Defence","80","80","20610","20920"
"New entrant CS","2021","Human Resources","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Scottish Government","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Cabinet Office","40","30","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Department of Health and Social Care","40","40","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Ministry of Defence","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Cabinet Office","40","40","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Ministry of Defence","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Ministry of Justice","40","40","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","AA/AO","Attorney General's Departments","310","310","20440","20120"
"New entrant CS","2021","Legal","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","AA/AO","Scottish Government","80","70","20600","20850"
"New entrant CS","2021","Legal","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","Attorney General's Departments","170","160","27230","26970"
"New entrant CS","2021","Legal","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","Ministry of Justice","30","30","[c]","[c]"
"New entrant CS","2021","Legal","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Attorney General's Departments","320","300","52390","50520"
"New entrant CS","2021","Legal","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Attorney General's Departments","150","150","40410","40000"
"New entrant CS","2021","Legal","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Ministry of Justice","140","140","28450","26550"
"New entrant CS","2021","Legal","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
